county & state,2015 Total Population (Esri)
Bell Kentucky,29068
Clark Kentucky,35267
Robertson Kentucky,2559
Nicholas Kentucky,7068
Woodford Kentucky,25985
Elliott Kentucky,7888
Rowan Kentucky,23946
Harlan Kentucky,30195
Nelson Kentucky,44669
Fleming Kentucky,14454
Harrison Kentucky,18726
Owen Kentucky,10279
Knox Kentucky,30369
Carroll Kentucky,11227
Wolfe Kentucky,7541
Casey Kentucky,16465
Gallatin Kentucky,8442
Spencer Kentucky,17502
Clay Kentucky,21469
Laurel Kentucky,62685
Boyle Kentucky,30242
Pendleton Kentucky,14874
Morgan Kentucky,13675
Franklin Kentucky,50140
Shelby Kentucky,43478
Montgomery Kentucky,26681
Owsley Kentucky,4551
McCreary Kentucky,18341
Washington Kentucky,11402
Grant Kentucky,24966
Powell Kentucky,12945
Bourbon Kentucky,20062
Anderson Kentucky,21522
Trimble Kentucky,8657
Mercer Kentucky,21761
Bath Kentucky,12127
Estill Kentucky,14337
Menifee Kentucky,6596
Madison Kentucky,85513
Lincoln Kentucky,24536
Henry Kentucky,15585
Jessamine Kentucky,50237
Garrard Kentucky,16520
Fayette Kentucky,308233
Jackson Kentucky,14034
Whitley Kentucky,35358
Magoffin Kentucky,13469
Grant Louisiana,23649
Red River Louisiana,8704
Sabine Louisiana,25803
Iberia Louisiana,73372
Rapides Louisiana,134768
Calcasieu Louisiana,196588
Evangeline Louisiana,34852
Pointe Coupee Louisiana,24525
Vernon Louisiana,55516
Webster Louisiana,41679
Allen Louisiana,26070
De Soto Louisiana,28534
Beauregard Louisiana,36918
Avoyelles Louisiana,42974
St. Mary Louisiana,54584
Acadia Louisiana,62380
Vermilion Louisiana,60830
Natchitoches Louisiana,40461
St. Martin Louisiana,55188
Bossier Louisiana,131338
Caddo Louisiana,253110
St. Landry Louisiana,84513
St. Tammany Louisiana,247768
Jefferson Louisiana,450981
East Feliciana Louisiana,20643
Jackson Louisiana,16534
St. Helena Louisiana,11453
Washington Louisiana,47862
Ascension Louisiana,119085
Lafayette Louisiana,235411
Jefferson Davis Louisiana,35459
Madison Louisiana,12038
Richland Louisiana,21317
Union Louisiana,22659
Bienville Louisiana,14051
Orleans Louisiana,356308
Iberville Louisiana,35110
St. James Louisiana,22553
Terrebonne Louisiana,117238
East Baton Rouge Louisiana,447344
West Baton Rouge Louisiana,24974
Catahoula Louisiana,10734
Concordia Louisiana,17400
Livingston Louisiana,140503
St. John the Baptist Louisiana,45631
LaSalle Louisiana,15141
Franklin Louisiana,21506
West Carroll Louisiana,11820
Morehouse Louisiana,27295
Lincoln Louisiana,47781
Plaquemines Louisiana,36060
Tensas Louisiana,5158
St. Bernard Louisiana,38105
Claiborne Louisiana,17029
Cameron Louisiana,6958
Ouachita Louisiana,159287
Assumption Louisiana,24516
West Feliciana Louisiana,15557
St. Charles Louisiana,54212
East Carroll Louisiana,7485
Winn Louisiana,15303
Caldwell Louisiana,9845
Tangipahoa Louisiana,130376
Lafourche Louisiana,97223
Oxford Maine,58958
Hancock Maine,56184
Sagadahoc Maine,36039
York Maine,205520
Kennebec Maine,124033
Lincoln Maine,34931
Franklin Maine,31449
Piscataquis Maine,17601
Aroostook Maine,70597
Cumberland Maine,286024
Androscoggin Maine,109308
Waldo Maine,40500
Washington Maine,30875
Knox Maine,40328
Penobscot Maine,156378
Somerset Maine,53132
Queen Anne's Maryland,48836
Dorchester Maryland,32918
Somerset Maryland,26483
Charles Maryland,154714
Harford Maryland,252413
Kent Maryland,21869
Carroll Maryland,166037
Prince George's Maryland,889777
Worcester Maryland,48700
Cecil Maryland,105524
Talbot Maryland,38945
St. Mary's Maryland,113034
Baltimore Maryland,1433161
Wicomico Maryland,100155
Anne Arundel Maryland,566425
Howard Maryland,307727
Caroline Maryland,33252
Calvert Maryland,90271
Montgomery Maryland,1011849
Garrett Maryland,30746
Frederick Maryland,245103
Washington Maryland,152625
Allegany Maryland,74553
Berkshire Massachusetts,129856
Hampden Massachusetts,468698
Franklin Massachusetts,71488
Bristol Massachusetts,559087
Norfolk Massachusetts,633434
Worcester Massachusetts,822862
Barnstable Massachusetts,220874
Plymouth Massachusetts,504638
Middlesex Massachusetts,1574410
Hampshire Massachusetts,160341
Suffolk Massachusetts,745232
Essex Massachusetts,755623
Dukes Massachusetts,16829
Nantucket Massachusetts,10059
Menominee Michigan,23673
Gogebic Michigan,16024
Iron Michigan,11807
Baraga Michigan,8762
Marquette Michigan,67500
Schoolcraft Michigan,8380
Houghton Michigan,37362
Ontonagon Michigan,6551
Alger Michigan,9935
Delta Michigan,36922
Keweenaw Michigan,2144
Missaukee Michigan,15004
Roscommon Michigan,24345
Ingham Michigan,280681
Lake Michigan,11683
Mecosta Michigan,43294
Muskegon Michigan,171271
Cheboygan Michigan,25629
Gladwin Michigan,25784
Midland Michigan,84625
Osceola Michigan,23583
Oscoda Michigan,8533
Shiawassee Michigan,69418
Barry Michigan,59658
Lenawee Michigan,98730
Crawford Michigan,13953
Manistee Michigan,24697
Wexford Michigan,32696
Iosco Michigan,25060
Saginaw Michigan,195178
Eaton Michigan,108513
Kalkaska Michigan,17077
Bay Michigan,106844
Tuscola Michigan,55060
Montcalm Michigan,63643
Emmet Michigan,32744
Alpena Michigan,29752
Ionia Michigan,64051
Ogemaw Michigan,21134
Van Buren Michigan,75763
Jackson Michigan,160813
Kent Michigan,621718
Newaygo Michigan,48679
Ottawa Michigan,272349
St. Joseph Michigan,61767
Antrim Michigan,24561
Calhoun Michigan,135172
Grand Traverse Michigan,89652
Presque Isle Michigan,13309
Mason Michigan,28947
Branch Michigan,43507
Montmorency Michigan,9098
Huron Michigan,32617
Alcona Michigan,10235
Allegan Michigan,113885
Lapeer Michigan,87722
Charlevoix Michigan,25843
Gratiot Michigan,42220
Berrien Michigan,154504
Kalamazoo Michigan,253857
Oceana Michigan,26531
Wayne Michigan,1746456
Benzie Michigan,17744
Genesee Michigan,409958
Washtenaw Michigan,354938
Otsego Michigan,24631
Cass Michigan,52125
Sanilac Michigan,41437
Macomb Michigan,854562
Arenac Michigan,15506
St. Clair Michigan,160648
Livingston Michigan,185015
Clinton Michigan,76879
Leelanau Michigan,22001
Clare Michigan,30876
Oakland Michigan,1221673
Monroe Michigan,149946
Isabella Michigan,70948
Hillsdale Michigan,45845
Luce Michigan,6761
Mackinac Michigan,10776
Chippewa Michigan,35992
Dickinson Michigan,24903
Murray Minnesota,8665
Waseca Minnesota,18995
Dodge Minnesota,20963
Houston Minnesota,19079
Aitkin Minnesota,16351
Nicollet Minnesota,26122
Pennington Minnesota,14323
Pipestone Minnesota,9425
Rock Minnesota,9697
Todd Minnesota,24854
Nobles Minnesota,21792
Benton Minnesota,38309
Douglas Minnesota,37344
Kittson Minnesota,4507
Lac qui Parle Minnesota,7115
Le Sueur Minnesota,27848
Sibley Minnesota,15496
Carlton Minnesota,35745
Pope Minnesota,11216
Mahnomen Minnesota,5461
Wilkin Minnesota,6751
Sherburne Minnesota,90104
Cottonwood Minnesota,11661
Lincoln Minnesota,5867
Yellow Medicine Minnesota,10675
St. Louis Minnesota,199177
Meeker Minnesota,23343
Fillmore Minnesota,20778
Wabasha Minnesota,21506
Isanti Minnesota,38299
Hubbard Minnesota,20421
Mille Lacs Minnesota,26476
Roseau Minnesota,15596
Olmsted Minnesota,150202
Winona Minnesota,52080
Martin Minnesota,20776
Clearwater Minnesota,8874
Wright Minnesota,125867
Watonwan Minnesota,11189
Kanabec Minnesota,16104
Red Lake Minnesota,4155
Brown Minnesota,25361
Clay Minnesota,60176
Washington Minnesota,249648
Chisago Minnesota,54343
Grant Minnesota,5988
Big Stone Minnesota,5310
Traverse Minnesota,3468
Redwood Minnesota,16153
Ramsey Minnesota,522006
Anoka Minnesota,339492
Becker Minnesota,33806
Lyon Minnesota,25796
Wadena Minnesota,13721
Cook Minnesota,5014
Faribault Minnesota,13979
Swift Minnesota,9387
Norman Minnesota,6647
Morrison Minnesota,33692
Rice Minnesota,65870
Jackson Minnesota,10255
McLeod Minnesota,36245
Stearns Minnesota,155729
Steele Minnesota,36825
Kandiyohi Minnesota,42830
Chippewa Minnesota,11985
Blue Earth Minnesota,74737
Carver Minnesota,98333
Otter Tail Minnesota,58192
Marshall Minnesota,9419
Dakota Minnesota,404505
Itasca Minnesota,45583
Mower Minnesota,38965
Pine Minnesota,28724
Polk Minnesota,33578
Renville Minnesota,15476
Crow Wing Minnesota,65011
Beltrami Minnesota,45574
Lake Minnesota,10585
Lake of the Woods Minnesota,4046
Goodhue Minnesota,46776
Scott Minnesota,143614
Koochiching Minnesota,12066
Stevens Minnesota,9879
Cass Minnesota,28458
Freeborn Minnesota,30835
Hennepin Minnesota,1201218
Holmes Mississippi,18848
Coahoma Mississippi,25672
Leflore Mississippi,31512
Issaquena Mississippi,1404
Bolivar Mississippi,34459
Sharkey Mississippi,4849
Attala Mississippi,19816
Amite Mississippi,12725
Copiah Mississippi,29167
Hinds Mississippi,244690
Sunflower Mississippi,27924
Rankin Mississippi,146292
Tunica Mississippi,10860
Tallahatchie Mississippi,15049
Lincoln Mississippi,35695
Yazoo Mississippi,27604
Madison Mississippi,102691
Claiborne Mississippi,9603
Franklin Mississippi,8112
Wilkinson Mississippi,9606
Warren Mississippi,48055
Adams Mississippi,35924
Harrison Mississippi,193192
Jefferson Davis Mississippi,12396
Smith Mississippi,17193
Webster Mississippi,10261
Pike Mississippi,40561
Perry Mississippi,12250
Lauderdale Mississippi,80640
Quitman Mississippi,7987
Marion Mississippi,26373
Clarke Mississippi,16579
Jones Mississippi,68738
Forrest Mississippi,77254
Jefferson Mississippi,7557
Montgomery Mississippi,10668
Humphreys Mississippi,9081
Jackson Mississippi,150800
Lawrence Mississippi,13035
Covington Mississippi,20047
Wayne Mississippi,20700
Walthall Mississippi,15316
Lamar Mississippi,57413
Stone Mississippi,18043
Carroll Mississippi,10941
Greene Mississippi,14695
Jasper Mississippi,17040
Pearl River Mississippi,56194
Simpson Mississippi,27350
Hancock Mississippi,47963
Grenada Mississippi,21964
Washington Mississippi,49346
George Mississippi,23643
Choctaw Mississippi,8428
Noxubee Mississippi,11371
Leake Mississippi,23893
Yalobusha Mississippi,12662
DeSoto Mississippi,170637
Tippah Mississippi,23051
Lee Mississippi,87201
Oktibbeha Mississippi,49146
Calhoun Mississippi,15161
Prentiss Mississippi,25425
Alcorn Mississippi,37773
Union Mississippi,27637
Itawamba Mississippi,24147
Tate Mississippi,29263
Monroe Mississippi,36215
Scott Mississippi,29088
Lafayette Mississippi,52324
Winston Mississippi,18583
Tishomingo Mississippi,20190
Marshall Mississippi,36953
Chickasaw Mississippi,17484
Newton Mississippi,21881
Benton Mississippi,8706
Clay Mississippi,20306
Panola Mississippi,35178
Lowndes Mississippi,59319
Kemper Mississippi,10785
Pontotoc Mississippi,31741
Neshoba Mississippi,30046
Atchison Missouri,5593
Dade Missouri,7832
Daviess Missouri,8913
Pettis Missouri,42287
Lawrence Missouri,39111
Hickory Missouri,9321
McDonald Missouri,23665
Newton Missouri,60196
Cedar Missouri,14173
Carroll Missouri,9207
Cooper Missouri,17337
Chariton Missouri,7625
Jasper Missouri,123265
Cass Missouri,103745
Andrew Missouri,17903
Platte Missouri,93450
Johnson Missouri,55015
Buchanan Missouri,88897
Polk Missouri,30873
Christian Missouri,81593
Saline Missouri,23553
Randolph Missouri,25409
Ray Missouri,23351
Stone Missouri,32245
Greene Missouri,284639
Lafayette Missouri,33222
Clay Missouri,229764
Livingston Missouri,15190
Howard Missouri,10798
Worth Missouri,2178
Jackson Missouri,681575
Barry Missouri,36400
Dunklin Missouri,30798
Taney Missouri,55111
Adair Missouri,25668
Ripley Missouri,14619
Miller Missouri,25782
Callaway Missouri,44291
St. Louis Missouri,1312953
Oregon Missouri,11115
Knox Missouri,4088
Monroe Missouri,8766
Camden Missouri,43256
Ralls Missouri,10449
Caldwell Missouri,9588
Boone Missouri,174292
Bollinger Missouri,12784
Lewis Missouri,10358
Madison Missouri,12498
Harrison Missouri,9075
Shelby Missouri,6311
Marion Missouri,28772
Howell Missouri,41237
Dallas Missouri,16369
Warren Missouri,33432
Gentry Missouri,6901
Macon Missouri,15576
Cole Missouri,76732
Scott Missouri,38562
Shannon Missouri,8554
Reynolds Missouri,7087
Mercer Missouri,3793
Stoddard Missouri,31321
Benton Missouri,19369
Wright Missouri,18868
Vernon Missouri,21290
St. Charles Missouri,377305
Butler Missouri,43385
Washington Missouri,25415
Laclede Missouri,36362
St. Francois Missouri,67542
Clinton Missouri,20405
Mississippi Missouri,14464
Barton Missouri,12180
Perry Missouri,20288
Iron Missouri,10709
St. Clair Missouri,9853
Franklin Missouri,102765
Sullivan Missouri,6655
Jefferson Missouri,218323
Schuyler Missouri,4627
Pemiscot Missouri,18175
Scotland Missouri,4936
Cape Girardeau Missouri,77903
Moniteau Missouri,16057
Nodaway Missouri,23873
Carter Missouri,6361
Maries Missouri,9142
Crawford Missouri,25278
Gasconade Missouri,14874
Lincoln Missouri,55404
Ozark Missouri,9746
Putnam Missouri,4930
Texas Missouri,26303
Pike Missouri,18579
Grundy Missouri,10514
Phelps Missouri,45962
Morgan Missouri,22296
Linn Missouri,12468
Wayne Missouri,14133
Holt Missouri,4642
Webster Missouri,36965
Audrain Missouri,25686
New Madrid Missouri,20713
Pulaski Missouri,55352
Henry Missouri,22277
DeKalb Missouri,12948
Ste. Genevieve Missouri,17953
Douglas Missouri,13663
Bates Missouri,16793
Osage Missouri,14611
Clark Missouri,7418
Dent Missouri,15995
Montgomery Missouri,12473
Sheridan Montana,3710
Prairie Montana,1180
Richland Montana,11484
Dawson Montana,9407
Daniels Montana,1754
Carter Montana,1166
Custer Montana,12181
Fallon Montana,3021
McCone Montana,1961
Wibaux Montana,1092
Roosevelt Montana,10755
Valley Montana,7446
Beaverhead Montana,9303
Big Horn Montana,13058
Blaine Montana,6645
Broadwater Montana,6023
Carbon Montana,10333
Cascade Montana,82767
Chouteau Montana,5707
Deer Lodge Montana,9183
Fergus Montana,11964
Flathead Montana,95504
Gallatin Montana,96959
Garfield Montana,1228
Glacier Montana,13602
Golden Valley Montana,899
Granite Montana,3140
Hill Montana,16382
Jefferson Montana,11610
Judith Basin Montana,2052
Lake Montana,29470
Lewis and Clark Montana,66334
Liberty Montana,2334
Lincoln Montana,19978
Madison Montana,7813
Meagher Montana,1909
Mineral Montana,3789
Missoula Montana,114020
Musselshell Montana,4561
Park Montana,16046
Petroleum Montana,476
Phillips Montana,4236
Pondera Montana,6155
Powder River Montana,1744
Powell Montana,6972
Ravalli Montana,41268
Rosebud Montana,9270
Sanders Montana,11534
Silver Bow Montana,34968
Stillwater Montana,9402
Sweet Grass Montana,3579
Teton Montana,6157
Toole Montana,5238
Treasure Montana,708
Wheatland Montana,2171
Yellowstone Montana,155898
Adams Nebraska,31669
Antelope Nebraska,6505
Arthur Nebraska,474
Banner Nebraska,708
Blaine Nebraska,482
Boone Nebraska,5439
Box Butte Nebraska,11404
Boyd Nebraska,2043
Brown Nebraska,2927
Buffalo Nebraska,48136
Burt Nebraska,6647
Butler Nebraska,8386
Cass Nebraska,24994
Cedar Nebraska,8720
Chase Nebraska,3960
Cherry Nebraska,5891
Cheyenne Nebraska,10077
Clay Nebraska,6570
Colfax Nebraska,10586
Cuming Nebraska,9007
Custer Nebraska,10760
Dakota Nebraska,17191
Dawes Nebraska,9121
Dawson Nebraska,24378
Deuel Nebraska,1865
Dixon Nebraska,5810
Dodge Nebraska,36793
Douglas Nebraska,556690
Dundy Nebraska,1972
Fillmore Nebraska,5788
Franklin Nebraska,3119
Frontier Nebraska,2665
Furnas Nebraska,4941
Gage Nebraska,22012
Garden Nebraska,1952
Garfield Nebraska,2017
Gosper Nebraska,2046
Grant Nebraska,607
Greeley Nebraska,2500
Hall Nebraska,61236
Hamilton Nebraska,9374
Harlan Nebraska,3428
Hayes Nebraska,1037
Hitchcock Nebraska,2806
Holt Nebraska,10380
Hooker Nebraska,734
Howard Nebraska,6390
Jefferson Nebraska,7464
Johnson Nebraska,5205
Kearney Nebraska,6530
Keith Nebraska,8314
Keya Paha Nebraska,796
Kimball Nebraska,3720
Knox Nebraska,8624
Lancaster Nebraska,299990
Lincoln Nebraska,36528
Logan Nebraska,780
Loup Nebraska,618
Madison Nebraska,35237
McPherson Nebraska,516
Merrick Nebraska,7838
Morrill Nebraska,4966
Nance Nebraska,3654
Nemaha Nebraska,7244
Nuckolls Nebraska,4445
Otoe Nebraska,15957
Pawnee Nebraska,2755
Perkins Nebraska,2940
Phelps Nebraska,9233
Pierce Nebraska,7174
Platte Nebraska,32764
Polk Nebraska,5300
Red Willow Nebraska,10925
Richardson Nebraska,8132
Rock Nebraska,1512
Saline Nebraska,14662
Sarpy Nebraska,172658
Saunders Nebraska,21566
Scotts Bluff Nebraska,37490
Seward Nebraska,17314
Sheridan Nebraska,5333
Sherman Nebraska,3133
Sioux Nebraska,1277
Stanton Nebraska,6119
Thayer Nebraska,5167
Thomas Nebraska,662
Thurston Nebraska,7062
Valley Nebraska,4273
Washington Nebraska,20253
Wayne Nebraska,9498
Webster Nebraska,3803
Wheeler Nebraska,773
York Nebraska,13781
Carson City Nevada,53508
Churchill Nevada,24670
Clark Nevada,2092400
Douglas Nevada,50159
Elko Nevada,54882
Esmeralda Nevada,932
Eureka Nevada,2064
Humboldt Nevada,18081
Lander Nevada,6331
Lincoln Nevada,5327
Lyon Nevada,52422
Mineral Nevada,4678
Nye Nevada,45578
Pershing Nevada,6915
Storey Nevada,4001
Washoe Nevada,441851
White Pine Nevada,9909
Coos New Hampshire,33755
Merrimack New Hampshire,150937
Cheshire New Hampshire,77692
Carroll New Hampshire,48764
Belknap New Hampshire,62082
Grafton New Hampshire,89086
Rockingham New Hampshire,303542
Hillsborough New Hampshire,402493
Sullivan New Hampshire,44924
Strafford New Hampshire,128361
Passaic New Jersey,529295
Sussex New Jersey,146387
Morris New Jersey,496865
Bergen New Jersey,1480831
Atlantic New Jersey,275137
Ocean New Jersey,593507
Cape May New Jersey,94697
Monmouth New Jersey,608324
Essex New Jersey,805940
Warren New Jersey,104828
Cumberland New Jersey,158822
Gloucester New Jersey,280438
Union New Jersey,539594
Salem New Jersey,65861
Middlesex New Jersey,845135
Hunterdon New Jersey,128607
Mercer New Jersey,353325
Hudson New Jersey,66118
Somerset New Jersey,335309
Burlington New Jersey,464633
Camden New Jersey,514514
Bernalillo New Mexico,675975
Catron New Mexico,3746
Chaves New Mexico,66779
Cibola New Mexico,27053
Colfax New Mexico,13662
De Baca New Mexico,1963
Dona Ana New Mexico,217896
Eddy New Mexico,57170
Grant New Mexico,30275
Guadalupe New Mexico,4746
Harding New Mexico,693
Hidalgo New Mexico,4805
Lincoln New Mexico,20681
Los Alamos New Mexico,17432
Luna New Mexico,24806
McKinley New Mexico,70588
Mora New Mexico,4804
Otero New Mexico,65089
Quay New Mexico,8918
Rio Arriba New Mexico,39637
San Juan New Mexico,130495
San Miguel New Mexico,29640
Sandoval New Mexico,138169
Santa Fe New Mexico,148590
Sierra New Mexico,11391
Socorro New Mexico,17921
Taos New Mexico,32850
Torrance New Mexico,16022
Union New Mexico,4475
Valencia New Mexico,77214
Curry New Mexico,53215
Roosevelt New Mexico,20700
Lea New Mexico,69783
Washington New York,63409
Queens New York,2262146
Richmond New York,470636
Kings New York,2760514
Nassau New York,1361869
Westchester New York,932213
New York New York,1157695
Bronx New York,1770451
Suffolk New York,1501491
Allegany New York,48298
Rockland New York,320022
Schuyler New York,18605
Wayne New York,92832
Steuben New York,99641
Albany New York,303361
Ulster New York,182154
Columbia New York,64367
Otsego New York,60990
Monroe New York,744736
Greene New York,49498
Saratoga New York,225191
Orange New York,384780
Rensselaer New York,169045
St. Lawrence New York,116163
Yates New York,25308
Schoharie New York,31976
Cortland New York,49277
Schenectady New York,155730
Tioga New York,50696
Oswego New York,122510
Genesee New York,59804
Chemung New York,87814
Jefferson New York,120964
Putnam New York,100550
Ontario New York,108308
Montgomery New York,50720
Chenango New York,51310
Franklin New York,49776
Dutchess New York,294543
Broome New York,196435
Niagara New York,213202
Livingston New York,64953
Tompkins New York,102245
Clinton New York,81555
Seneca New York,37464
Lewis New York,27743
Erie New York,914925
Chautauqua New York,131003
Orleans New York,41802
Delaware New York,47769
Sullivan New York,76276
Cattaraugus New York,78760
Onondaga New York,469687
Wyoming New York,41293
Oneida New York,232910
Herkimer New York,65956
Madison New York,75853
Warren New York,67921
Fulton New York,54409
Essex New York,39365
Hamilton New York,4872
Cayuga New York,80182
Surry North Carolina,73906
Macon North Carolina,35361
Avery North Carolina,18167
Mitchell North Carolina,15426
Graham North Carolina,9027
Madison North Carolina,21723
Clay North Carolina,10938
Cherokee North Carolina,28618
Haywood North Carolina,60515
Jackson North Carolina,42061
Buncombe North Carolina,257266
Watauga North Carolina,53918
Henderson North Carolina,107641
Swain North Carolina,15071
Burke North Carolina,89969
Carteret North Carolina,70473
Onslow North Carolina,198999
Pender North Carolina,57796
New Hanover North Carolina,209652
Hyde North Carolina,5853
Brunswick North Carolina,123222
Dare North Carolina,35433
Johnston North Carolina,182100
Duplin North Carolina,59484
Lee North Carolina,59757
Wilson North Carolina,80851
Guilford North Carolina,507757
Stokes North Carolina,46835
Transylvania North Carolina,34085
Caldwell North Carolina,83248
Edgecombe North Carolina,54922
Ashe North Carolina,27837
Gaston North Carolina,210981
Perquimans North Carolina,14072
Currituck North Carolina,24963
Anson North Carolina,26740
Caswell North Carolina,23512
McDowell North Carolina,46652
Durham North Carolina,291141
Granville North Carolina,57119
Columbus North Carolina,58397
Gates North Carolina,12072
Richmond North Carolina,46499
Union North Carolina,217105
Davidson North Carolina,167268
Rutherford North Carolina,69177
Randolph North Carolina,143190
Wake North Carolina,997002
Robeson North Carolina,137283
Forsyth North Carolina,362062
Scotland North Carolina,36647
Halifax North Carolina,54078
Hertford North Carolina,24297
Polk North Carolina,20999
Chatham North Carolina,68761
Moore North Carolina,94785
Alamance North Carolina,155724
Bladen North Carolina,35043
Bertie North Carolina,21229
Rowan North Carolina,139301
Rockingham North Carolina,92210
Stanly North Carolina,60924
Cabarrus North Carolina,192160
Martin North Carolina,24038
Greene North Carolina,21549
Sampson North Carolina,65859
Davie North Carolina,41549
Yadkin North Carolina,38639
Pamlico North Carolina,13607
Orange North Carolina,140263
Warren North Carolina,21505
Craven North Carolina,103481
Chowan North Carolina,14961
Nash North Carolina,98428
Catawba North Carolina,155155
Cleveland North Carolina,100615
Harnett North Carolina,129803
Hoke North Carolina,55970
Jones North Carolina,13570
Alleghany North Carolina,11101
Vance North Carolina,45157
Iredell North Carolina,168264
Yancey North Carolina,18259
Pitt North Carolina,174674
Tyrrell North Carolina,3917
Northampton North Carolina,21830
Franklin North Carolina,65236
Beaufort North Carolina,48446
Wayne North Carolina,125462
Cumberland North Carolina,332068
Lenoir North Carolina,58995
Person North Carolina,39355
Washington North Carolina,13030
Lincoln North Carolina,79741
Pasquotank North Carolina,40338
Alexander North Carolina,38090
Camden North Carolina,10251
Montgomery North Carolina,28553
Wilkes North Carolina,70498
Mecklenburg North Carolina,1001357
Adams North Dakota,2356
Barnes North Dakota,10918
Benson North Dakota,6840
Billings North Dakota,945
Bottineau North Dakota,7122
Bowman North Dakota,3493
Burke North Dakota,2465
Burleigh North Dakota,90544
Cass North Dakota,171126
Cavalier North Dakota,3984
Dickey North Dakota,5329
Divide North Dakota,2395
Dunn North Dakota,4343
Eddy North Dakota,2428
Emmons North Dakota,3532
Foster North Dakota,3403
Golden Valley North Dakota,1823
Grand Forks North Dakota,69712
Grant North Dakota,2446
Griggs North Dakota,2354
Hettinger North Dakota,2620
Kidder North Dakota,2446
LaMoure North Dakota,4155
Logan North Dakota,1988
McHenry North Dakota,5900
McIntosh North Dakota,2763
McKenzie North Dakota,9417
McLean North Dakota,9958
Mercer North Dakota,8787
Morton North Dakota,31257
Mountrail North Dakota,10033
Nelson North Dakota,3111
Oliver North Dakota,1836
Pembina North Dakota,7317
Pierce North Dakota,4462
Ramsey North Dakota,11602
Ransom North Dakota,5557
Renville North Dakota,2655
Richland North Dakota,16073
Rolette North Dakota,14585
Sargent North Dakota,3913
Sheridan North Dakota,1367
Sioux North Dakota,4307
Slope North Dakota,788
Stark North Dakota,30565
Steele North Dakota,1939
Stutsman North Dakota,21599
Towner North Dakota,2288
Traill North Dakota,8327
Walsh North Dakota,11238
Ward North Dakota,72851
Wells North Dakota,4247
Williams North Dakota,34218
Lorain Ohio,302378
Jackson Ohio,33099
Pike Ohio,28815
Sandusky Ohio,60368
Montgomery Ohio,534761
Miami Ohio,104539
Knox Ohio,61010
Portage Ohio,164939
Wyandot Ohio,23464
Fulton Ohio,42507
Darke Ohio,52966
Warren Ohio,220678
Champaign Ohio,41687
Clermont Ohio,202968
Richland Ohio,121402
Highland Ohio,43408
Henry Ohio,28074
