county & state,2015 Total Population (Esri)
Crawford Ohio,42952
Morgan Ohio,15347
Huron Ohio,59147
Ottawa Ohio,41878
Hardin Ohio,31328
Fayette Ohio,28985
Holmes Ohio,44315
Jefferson Ohio,57980
Fairfield Ohio,149528
Lawrence Ohio,59494
Clark Ohio,136859
Logan Ohio,44935
Carroll Ohio,28330
Mahoning Ohio,233599
Marion Ohio,67270
Medina Ohio,176705
Seneca Ohio,55927
Trumbull Ohio,205170
Tuscarawas Ohio,93638
Wayne Ohio,115646
Meigs Ohio,20117
Hocking Ohio,28901
Clinton Ohio,42421
Geauga Ohio,96461
Defiance Ohio,39109
Brown Ohio,44763
Greene Ohio,161789
Union Ohio,52127
Harrison Ohio,16294
Belmont Ohio,63834
Mercer Ohio,40842
Ashland Ohio,53891
Ross Ohio,78982
Monroe Ohio,15573
Columbiana Ohio,104981
Lucas Ohio,430350
Pickaway Ohio,56280
Muskingum Ohio,84812
Morrow Ohio,34321
Guernsey Ohio,39877
Preble Ohio,42291
Stark Ohio,371496
Hancock Ohio,74229
Ashtabula Ohio,99828
Allen Ohio,109745
Delaware Ohio,189376
Noble Ohio,14635
Franklin Ohio,1224338
Madison Ohio,43496
Williams Ohio,37909
Paulding Ohio,19326
Shelby Ohio,49454
Gallia Ohio,30795
Hamilton Ohio,801947
Adams Ohio,28225
Licking Ohio,169257
Vinton Ohio,13674
Van Wert Ohio,25378
Putnam Ohio,34929
Lake Ohio,228448
Athens Ohio,65211
Washington Ohio,59918
Butler Ohio,376311
Coshocton Ohio,36962
Cuyahoga Ohio,1243365
Perry Ohio,36114
Wood Ohio,133455
Scioto Ohio,74474
Summit Ohio,546193
Erie Ohio,75848
Auglaize Ohio,45981
Marshall Oklahoma,16569
Bryan Oklahoma,46261
Ottawa Oklahoma,32466
Stephens Oklahoma,45873
Johnston Oklahoma,11230
Oklahoma Oklahoma,769087
Lincoln Oklahoma,35341
Seminole Oklahoma,25610
Mayes Oklahoma,41796
Kay Oklahoma,46766
Pottawatomie Oklahoma,72549
Tulsa Oklahoma,635813
Hughes Oklahoma,14316
Wagoner Oklahoma,76516
Garfield Oklahoma,62236
Nowata Oklahoma,10611
Cherokee Oklahoma,49090
Dewey Oklahoma,4937
Alfalfa Oklahoma,5847
Washita Oklahoma,11676
Cleveland Oklahoma,271396
Atoka Oklahoma,14347
Delaware Oklahoma,42905
Harper Oklahoma,3739
Caddo Oklahoma,30212
Beaver Oklahoma,5672
McCurtain Oklahoma,33237
Carter Oklahoma,49940
Jefferson Oklahoma,6520
Pawnee Oklahoma,16464
Osage Oklahoma,47014
Cimarron Oklahoma,2367
Latimer Oklahoma,11142
Pontotoc Oklahoma,38559
Okfuskee Oklahoma,12665
Beckham Oklahoma,23801
Muskogee Oklahoma,71103
Pittsburg Oklahoma,45218
Blaine Oklahoma,9862
Comanche Oklahoma,127163
Cotton Oklahoma,6194
Grady Oklahoma,54701
Garvin Oklahoma,27870
Coal Oklahoma,6123
Rogers Oklahoma,90721
Tillman Oklahoma,7819
Washington Oklahoma,52212
Custer Oklahoma,29909
Okmulgee Oklahoma,39755
Kingfisher Oklahoma,15834
Sequoyah Oklahoma,43553
Murray Oklahoma,14053
Texas Oklahoma,21699
Major Oklahoma,7862
Harmon Oklahoma,2864
McClain Oklahoma,38700
Choctaw Oklahoma,15283
Woodward Oklahoma,21318
Grant Oklahoma,4482
Pushmataha Oklahoma,11642
Greer Oklahoma,6451
Creek Oklahoma,71176
Le Flore Oklahoma,51825
Roger Mills Oklahoma,3796
Woods Oklahoma,9361
Adair Oklahoma,23054
Payne Oklahoma,81097
Haskell Oklahoma,13672
Craig Oklahoma,15127
Jackson Oklahoma,25929
Kiowa Oklahoma,9170
Ellis Oklahoma,4264
McIntosh Oklahoma,21513
Canadian Oklahoma,130026
Love Oklahoma,10211
Logan Oklahoma,44745
Noble Oklahoma,11761
Pike Pennsylvania,57158
Wayne Pennsylvania,54349
Fayette Pennsylvania,139295
Sullivan Pennsylvania,6486
Mercer Pennsylvania,114879
Wyoming Pennsylvania,29385
Susquehanna Pennsylvania,43793
Butler Pennsylvania,186978
Juniata Pennsylvania,24865
Lycoming Pennsylvania,118021
Fulton Pennsylvania,14914
Columbia Pennsylvania,70061
Lawrence Pennsylvania,89789
Snyder Pennsylvania,39922
Armstrong Pennsylvania,61420
Berks Pennsylvania,418105
Crawford Pennsylvania,87878
Montour Pennsylvania,17776
Potter Pennsylvania,17838
Cumberland Pennsylvania,243669
Jefferson Pennsylvania,45645
Bedford Pennsylvania,49539
Forest Pennsylvania,7567
Huntingdon Pennsylvania,47680
McKean Pennsylvania,42872
Northampton Pennsylvania,318506
Northumberland Pennsylvania,95235
Erie Pennsylvania,280319
Warren Pennsylvania,41579
Adams Pennsylvania,103971
Cambria Pennsylvania,140991
Carbon Pennsylvania,65647
Delaware Pennsylvania,563344
Clinton Pennsylvania,40064
Clearfield Pennsylvania,78276
Lackawanna Pennsylvania,211703
Somerset Pennsylvania,76538
Dauphin Pennsylvania,276589
Elk Pennsylvania,31492
Lancaster Pennsylvania,536554
Perry Pennsylvania,43950
Montgomery Pennsylvania,837011
Tioga Pennsylvania,42631
Indiana Pennsylvania,86623
Luzerne Pennsylvania,320444
Bradford Pennsylvania,62528
Clarion Pennsylvania,39157
Allegheny Pennsylvania,1222024
Lebanon Pennsylvania,137380
Franklin Pennsylvania,154274
Beaver Pennsylvania,169299
York Pennsylvania,442608
Westmoreland Pennsylvania,373666
Lehigh Pennsylvania,346960
Mifflin Pennsylvania,46549
Monroe Pennsylvania,171036
Blair Pennsylvania,126848
Philadelphia Pennsylvania,1522293
Union Pennsylvania,46256
Schuylkill Pennsylvania,148758
Bucks Pennsylvania,626509
Centre Pennsylvania,160680
Chester Pennsylvania,524183
Venango Pennsylvania,53826
Greene Pennsylvania,37959
Cameron Pennsylvania,4912
Washington Pennsylvania,207940
Bristol Rhode Island,48235
Newport Rhode Island,82266
Washington Rhode Island,124311
Providence Rhode Island,627857
Kent Rhode Island,168306
McCormick South Carolina,9507
Anderson South Carolina,192120
Aiken South Carolina,165936
Oconee South Carolina,76246
Lee South Carolina,20167
Union South Carolina,27773
Dillon South Carolina,32077
Chester South Carolina,33937
Laurens South Carolina,66198
Newberry South Carolina,38484
Marlboro South Carolina,28729
Darlington South Carolina,66745
Berkeley South Carolina,185281
Barnwell South Carolina,22403
Cherokee South Carolina,56379
Saluda South Carolina,20119
Jasper South Carolina,30786
Pickens South Carolina,119982
Fairfield South Carolina,24621
Abbeville South Carolina,24678
Clarendon South Carolina,35504
Kershaw South Carolina,63369
Williamsburg South Carolina,34496
Florence South Carolina,140449
Beaufort South Carolina,166818
Marion South Carolina,32341
Hampton South Carolina,21714
Colleton South Carolina,37373
Spartanburg South Carolina,296299
Lexington South Carolina,273194
Dorchester South Carolina,138277
Sumter South Carolina,107989
Horry South Carolina,296505
Greenville South Carolina,480353
York South Carolina,242264
Charleston South Carolina,392776
Bamberg South Carolina,15479
Chesterfield South Carolina,47294
Edgefield South Carolina,28019
Georgetown South Carolina,60081
Lancaster South Carolina,81433
Orangeburg South Carolina,90628
Calhoun South Carolina,15937
Greenwood South Carolina,69740
Richland South Carolina,407522
Allendale South Carolina,10024
Hanson South Dakota,3379
Hamlin South Dakota,6061
Gregory South Dakota,4273
Campbell South Dakota,1389
Sanborn South Dakota,2337
Spink South Dakota,6474
Hutchinson South Dakota,7276
McCook South Dakota,5745
Davison South Dakota,19945
Codington South Dakota,28155
Faulk South Dakota,2334
Yankton South Dakota,22661
Douglas South Dakota,3026
Moody South Dakota,6341
Jones South Dakota,972
Kingsbury South Dakota,5131
Lake South Dakota,11726
Union South Dakota,15075
Tripp South Dakota,5500
Edmunds South Dakota,4020
Walworth South Dakota,5401
Mellette South Dakota,2128
Roberts South Dakota,10397
Brown South Dakota,38714
Minnehaha South Dakota,182425
Marshall South Dakota,4735
Hyde South Dakota,1411
Clark South Dakota,3706
Aurora South Dakota,2719
Day South Dakota,5711
Sully South Dakota,1382
Brookings South Dakota,34176
Clay South Dakota,13618
Brule South Dakota,5433
Deuel South Dakota,4294
Hand South Dakota,3327
Jerauld South Dakota,2091
Todd South Dakota,9650
McPherson South Dakota,2422
Lyman South Dakota,3788
Turner South Dakota,8555
Miner South Dakota,2342
Charles Mix South Dakota,9315
Hughes South Dakota,17721
Potter South Dakota,2389
Stanley South Dakota,3064
Buffalo South Dakota,1974
Beadle South Dakota,18266
Bon Homme South Dakota,7064
Lincoln South Dakota,52161
Grant South Dakota,7326
Bennett South Dakota,3536
Haakon South Dakota,1884
Pennington South Dakota,107911
Butte South Dakota,10428
Meade South Dakota,26601
Lawrence South Dakota,25408
Corson South Dakota,4144
Ziebach South Dakota,3007
Harding South Dakota,1266
Dewey South Dakota,5313
Jackson South Dakota,3113
Shannon South Dakota,13561
Perkins South Dakota,3004
Custer South Dakota,8610
Fall River South Dakota,7058
Tipton Tennessee,62396
Shelby Tennessee,946201
Humphreys Tennessee,18660
Dickson Tennessee,51145
Sumner Tennessee,168385
Moore Tennessee,5922
Gibson Tennessee,50690
Hickman Tennessee,24765
Marion Tennessee,28885
Lincoln Tennessee,33409
Putnam Tennessee,76165
Williamson Tennessee,208510
Bedford Tennessee,46694
Fayette Tennessee,39663
Madison Tennessee,100423
Robertson Tennessee,70074
Warren Tennessee,39553
Cumberland Tennessee,58177
Lewis Tennessee,12121
Lauderdale Tennessee,27572
Davidson Tennessee,660609
Rhea Tennessee,33702
Stewart Tennessee,13314
Weakley Tennessee,34925
Marshall Tennessee,32248
Bledsoe Tennessee,13008
Grundy Tennessee,13980
Wayne Tennessee,17260
Crockett Tennessee,15114
Maury Tennessee,86378
Overton Tennessee,22657
Pickett Tennessee,5468
Rutherford Tennessee,284160
Jackson Tennessee,11302
Carroll Tennessee,28958
Sequatchie Tennessee,14968
Lake Tennessee,7951
Clay Tennessee,7794
Hardin Tennessee,26956
Franklin Tennessee,42546
Obion Tennessee,31555
Benton Tennessee,16421
White Tennessee,26069
Chester Tennessee,17795
Lawrence Tennessee,42109
Van Buren Tennessee,5964
Hardeman Tennessee,27133
Decatur Tennessee,11890
Macon Tennessee,22775
Smith Tennessee,18823
Henry Tennessee,32627
Haywood Tennessee,18611
Cannon Tennessee,13963
Henderson Tennessee,28223
Montgomery Tennessee,191374
Trousdale Tennessee,8509
McNairy Tennessee,26733
Coffee Tennessee,53244
DeKalb Tennessee,19605
Houston Tennessee,8570
Dyer Tennessee,38660
Fentress Tennessee,18111
Wilson Tennessee,126641
Giles Tennessee,29152
Perry Tennessee,8133
Cheatham Tennessee,38921
Morgan Tennessee,22313
Sevier Tennessee,91997
Union Tennessee,19600
Claiborne Tennessee,33072
Johnson Tennessee,18083
Sullivan Tennessee,157484
Blount Tennessee,127051
Carter Tennessee,57625
Cocke Tennessee,35021
Hamblen Tennessee,63864
Bradley Tennessee,104094
Loudon Tennessee,52460
Grainger Tennessee,22132
Jefferson Tennessee,57195
Unicoi Tennessee,18028
Hancock Tennessee,6610
Knox Tennessee,449425
Meigs Tennessee,12621
McMinn Tennessee,53117
Scott Tennessee,22625
Anderson Tennessee,74551
Roane Tennessee,52627
Campbell Tennessee,40589
Hamilton Tennessee,351656
Washington Tennessee,126860
Polk Tennessee,17974
Hawkins Tennessee,57797
Greene Tennessee,69323
Monroe Tennessee,45695
Cameron Texas,426914
Kleberg Texas,32857
Nueces Texas,355074
Galveston Texas,318066
Parker Texas,125042
Lavaca Texas,20703
Briscoe Texas,1609
Donley Texas,3606
Howard Texas,38547
Hall Texas,3345
Zavala Texas,12057
Borden Texas,631
Cottle Texas,1440
Childress Texas,7301
Kerr Texas,51549
Foard Texas,1297
Cherokee Texas,53064
Comanche Texas,14114
DeWitt Texas,20484
Dimmit Texas,11438
Duval Texas,11515
Baylor Texas,3602
Hood Texas,54617
Knox Texas,3830
Motley Texas,1192
Leon Texas,16861
Wharton Texas,41334
Wilson Texas,47056
Young Texas,19020
Jeff Davis Texas,2359
Loving Texas,84
Sterling Texas,1170
Mason Texas,4134
Stonewall Texas,1461
San Augustine Texas,8813
Freestone Texas,20730
Lee Texas,17193
Bell Texas,336537
Midland Texas,153891
Coleman Texas,8827
Fisher Texas,3930
Mitchell Texas,9616
Stephens Texas,9404
Falls Texas,18160
Callahan Texas,14029
Edwards Texas,2250
Dickens Texas,2368
Titus Texas,33983
Fayette Texas,25303
Archer Texas,9235
Taylor Texas,135327
Smith Texas,220402
Uvalde Texas,27662
Hill Texas,35900
Bee Texas,33444
Armstrong Texas,1907
Presidio Texas,7499
Austin Texas,29099
Wood Texas,43892
Brooks Texas,7336
Jack Texas,9206
Williamson Texas,484756
Martin Texas,5124
Irion Texas,1583
Llano Texas,20146
Glasscock Texas,1248
McLennan Texas,245505
Rusk Texas,53353
Runnels Texas,10205
Gonzales Texas,21090
Milam Texas,25026
Ellis Texas,160472
Kinney Texas,3544
Bastrop Texas,79520
Erath Texas,40330
Collingsworth Texas,3160
Nolan Texas,15325
Matagorda Texas,36911
Kenedy Texas,417
Bosque Texas,18392
Angelina Texas,89919
Karnes Texas,15208
Menard Texas,2199
McCulloch Texas,8467
Brown Texas,38354
Lampasas Texas,20561
Goliad Texas,7889
Calhoun Texas,22334
Refugio Texas,7450
Colorado Texas,21366
Wise Texas,63545
San Saba Texas,6105
Denton Texas,747283
Mills Texas,5178
Real Texas,2971
Starr Texas,62439
Van Zandt Texas,53198
Henderson Texas,81424
Walker Texas,70544
Palo Pinto Texas,29120
Jackson Texas,14434
Terrell Texas,975
Victoria Texas,90968
Montgomery Texas,517804
Robertson Texas,16848
Andrews Texas,16794
Webb Texas,268062
Zapata Texas,14413
Jim Wells Texas,42615
Navarro Texas,49722
Jones Texas,20113
Bowie Texas,95645
Kimble Texas,4587
Dawson Texas,13883
Guadalupe Texas,146635
Collin Texas,877490
Wichita Texas,133541
Tom Green Texas,114942
Winkler Texas,7604
Lamar Texas,49809
Eastland Texas,19030
McMullen Texas,763
San Patricio Texas,65963
Nacogdoches Texas,66894
Jim Hogg Texas,5386
Trinity Texas,15383
Hidalgo Texas,838596
King Texas,291
Franklin Texas,11086
Chambers Texas,42992
Ector Texas,153682
Frio Texas,18126
Madison Texas,14127
Comal Texas,124803
Kendall Texas,40804
Sutton Texas,4126
Rains Texas,11771
Hamilton Texas,8499
Red River Texas,12632
Delta Texas,5576
Houston Texas,23729
Coryell Texas,78311
Bandera Texas,20950
Live Oak Texas,12307
Schleicher Texas,3442
Reeves Texas,14563
Upton Texas,3363
Throckmorton Texas,1622
Cooke Texas,39813
Hardeman Texas,4092
Rockwall Texas,88686
Coke Texas,3304
Grayson Texas,124519
Crane Texas,4790
Hays Texas,188890
Aransas Texas,24687
Harris Texas,4399468
Atascosa Texas,48175
Johnson Texas,160881
Shackelford Texas,3457
Somervell Texas,8939
Culberson Texas,2311
Limestone Texas,24076
Hunt Texas,89839
Ward Texas,11252
Garza Texas,6133
Dallas Texas,2476350
Blanco Texas,11032
Montague Texas,20237
Travis Texas,1126530
Concho Texas,3995
Crockett Texas,3689
La Salle Texas,7402
Willacy Texas,23747
Clay Texas,11012
Gillespie Texas,25859
Fort Bend Texas,687980
Reagan Texas,3511
Scurry Texas,17686
Wilbarger Texas,13557
Kent Texas,839
Haskell Texas,6033
Fannin Texas,34859
Bexar Texas,1841119
Hopkins Texas,36802
Maverick Texas,56836
Washington Texas,34820
Anderson Texas,58347
Grimes Texas,27871
Val Verde Texas,49014
Brazoria Texas,336631
Burleson Texas,18579
Burnet Texas,45915
Newton Texas,14521
Kaufman Texas,111164
Medina Texas,48456
Waller Texas,47622
Sabine Texas,10847
Tarrant Texas,1923620
Pecos Texas,15719
Brewster Texas,9394
Caldwell Texas,39063
Crosby Texas,6067
Roberts Texas,947
Carson Texas,6054
Hemphill Texas,4123
Sherman Texas,3057
Hutchinson Texas,22418
Gray Texas,23349
Panola Texas,24846
Bailey Texas,7272
Harrison Texas,68461
Morris Texas,12956
Lipscomb Texas,3408
Randall Texas,129723
Lubbock Texas,293922
Shelby Texas,26910
Moore Texas,22531
Cochran Texas,3079
Parmer Texas,10156
Gaines Texas,19747
Cass Texas,31147
Hale Texas,35720
Deaf Smith Texas,19182
Marion Texas,10659
Gregg Texas,127333
Castro Texas,8117
Wheeler Texas,5783
Oldham Texas,2071
Upshur Texas,40940
Lamb Texas,13780
Swisher Texas,7761
Camp Texas,12010
Ochiltree Texas,10727
Terry Texas,12868
Hockley Texas,23475
Hartley Texas,6217
Yoakum Texas,8148
Dallam Texas,7323
Lynn Texas,5850
Hansford Texas,5721
Floyd Texas,6293
Potter Texas,124549
Tyler Texas,22133
Liberty Texas,80761
Brazos Texas,207742
San Jacinto Texas,27271
Hardin Texas,58010
Jasper Texas,36633
Orange Texas,84870
Jefferson Texas,256762
Polk Texas,47614
El Paso Texas,852342
Hudspeth Texas,3467
Beaver Utah,6621
Box Elder Utah,52407
Cache Utah,120623
Carbon Utah,21050
Daggett Utah,1064
Davis Utah,324600
Duchesne Utah,20785
Emery Utah,10862
Garfield Utah,5142
Grand Utah,10016
Iron Utah,47945
Juab Utah,10564
Kane Utah,7317
Millard Utah,12759
Morgan Utah,11000
Piute Utah,1559
Rich Utah,2210
Salt Lake Utah,1091273
San Juan Utah,15131
Sanpete Utah,28774
Sevier Utah,20826
Summit Utah,39319
Tooele Utah,63299
Uintah Utah,37440
Utah Utah,562664
Wasatch Utah,28533
Washington Utah,153241
Wayne Utah,2800
Weber Utah,244539
Franklin Vermont,49038
Chittenden Vermont,162063
Grand Isle Vermont,7070
Addison Vermont,38162
Windsor Vermont,59467
Orleans Vermont,27587
Caledonia Vermont,31961
Windham Vermont,43942
Rutland Vermont,62135
Essex Vermont,6618
Bennington Vermont,37940
Lamoille Vermont,25729
Washington Vermont,59872
Orange Vermont,29293
Accomack Virginia,33408
Northampton Virginia,12282
Harrisonburg Virginia,53251
Salem Virginia,16860
Louisa Virginia,36368
Lynchburg Virginia,77629
Shenandoah Virginia,43881
Floyd Virginia,15534
Waynesboro Virginia,19212
Roanoke Virginia,201215
Patrick Virginia,18773
Galax Virginia,6904
Appomattox Virginia,15999
Pulaski Virginia,35661
Martinsville Virginia,13699
Goochland Virginia,47301
Craig Virginia,5293
Pittsylvania Virginia,69540
Henry Virginia,54289
Buckingham Virginia,17356
Fluvanna Virginia,26561
Cumberland Virginia,9892
Smyth Virginia,32293
Danville Virginia,40361
Nelson Virginia,14496
Rockbridge Virginia,23482
Wythe Virginia,29566
Grayson Virginia,15415
Halifax Virginia,35980
Carroll Virginia,30581
Page Virginia,23882
Frederick Virginia,84161
Bland Virginia,6700
Campbell Virginia,56993
Winchester Virginia,26756
Giles Virginia,17656
Greene Virginia,19656
Staunton Virginia,23255
Rockingham Virginia,77477
Tazewell Virginia,46615
Radford Virginia,17679
Augusta Virginia,79661
Bedford Virginia,74656
Montgomery Virginia,96967
Highland Virginia,2336
Franklin Virginia,64315
Russell Virginia,29424
Albemarle Virginia,115409
Scott Virginia,22855
Washington Virginia,55497
Botetourt Virginia,33824
Warren Virginia,38646
Dickenson Virginia,15782
Buchanan Virginia,25301
Amherst Virginia,33496
Bristol Virginia,17567
Lee Virginia,26818
Norton Virginia,3298
Wise Virginia,42405
Mathews Virginia,8927
Clarke Virginia,14391
Buena Vista Virginia,6286
Madison Virginia,13995
Hopewell Virginia,22114
Mecklenburg Virginia,32200
Nottoway Virginia,16279
Sussex Virginia,12315
Charlottesville Virginia,35417
Falls Church Virginia,12986
Newport News Virginia,189997
Poquoson Virginia,11517
Suffolk Virginia,87530
Emporia Virginia,5598
Alexandria Virginia,118935
Richmond Virginia,226419
Lunenburg Virginia,12879
Hampton Virginia,155782
Essex Virginia,11899
Powhatan Virginia,28268
King and Queen Virginia,7308
Charles City Virginia,8460
Culpeper Virginia,48494
Spotsylvania Virginia,127246
Loudoun Virginia,364896
Isle of Wight Virginia,36134
Fredericksburg Virginia,28354
Williamsburg Virginia,14976
Colonial Heights Virginia,16051
Lexington Virginia,7083
Northumberland Virginia,12171
Chesapeake Virginia,243831
Prince William Virginia,443461
Stafford Virginia,140333
Portsmouth Virginia,93067
Prince Edward Virginia,23775
Brunswick Virginia,17612
Greensville Virginia,12250
Bath Virginia,4848
Caroline Virginia,29665
Middlesex Virginia,11610
Henrico Virginia,298496
Manassas Park Virginia,12605
New Kent Virginia,19491
Rappahannock Virginia,8056
Virginia Beach Virginia,440889
Orange Virginia,34460
Gloucester Virginia,38211
Lancaster Virginia,12015
Manassas Virginia,32689
Alleghany Virginia,16495
Charlotte Virginia,12774
Surry Virginia,7056
Fairfax Virginia,1150953
Westmoreland Virginia,16012
Dinwiddie Virginia,28242
Norfolk Virginia,231440
York Virginia,61985
Amelia Virginia,13013
Covington Virginia,5705
Arlington Virginia,230899
James City Virginia,73009
King George Virginia,23697
Southampton Virginia,18946
Prince George Virginia,39437
King William Virginia,16935
Hanover Virginia,105259
Petersburg Virginia,31078
Fauquier Virginia,68059
Chesterfield Virginia,328503
Adams Washington,19775
Asotin Washington,21245
Benton Washington,191737
Chelan Washington,74634
Clallam Washington,72232
Clark Washington,446774
Columbia Washington,4108
Cowlitz Washington,103736
Douglas Washington,41869
Ferry Washington,7565
Franklin Washington,86780
Garfield Washington,2261
Grant Washington,92693
Grays Harbor Washington,72011
Island Washington,77904
Jefferson Washington,29627
King Washington,2049922
Kitsap Washington,254954
Kittitas Washington,42580
Klickitat Washington,21298
Lewis Washington,75691
Lincoln Washington,10425
Mason Washington,61209
Okanogan Washington,40184
Pacific Washington,20164
Pend Oreille Washington,12950
Pierce Washington,832180
San Juan Washington,16121
Skagit Washington,117439
Skamania Washington,11038
Snohomish Washington,751014
Spokane Washington,489760
Stevens Washington,42316
Thurston Washington,260135
Wahkiakum Washington,4049
Walla Walla Washington,60024
Whatcom Washington,205745
Whitman Washington,47229
Yakima Washington,250080
Brooke West Virginia,31586
Calhoun West Virginia,7844
Webster West Virginia,8972
Fayette West Virginia,46390
Nicholas West Virginia,26496
Berkeley West Virginia,111993
Ohio West Virginia,47549
Monongalia West Virginia,103143
Clay West Virginia,9472
Tucker West Virginia,7132
Taylor West Virginia,16426
Grant West Virginia,12108
Braxton West Virginia,14644
Lincoln West Virginia,22012
Mason West Virginia,30510
Summers West Virginia,13682
Marshall West Virginia,35034
Mineral West Virginia,28996
Pleasants West Virginia,8664
Ritchie West Virginia,9957
Wood West Virginia,88234
Jackson West Virginia,30489
Marion West Virginia,58104
Harrison West Virginia,70636
Jefferson West Virginia,57095
McDowell West Virginia,23148
Doddridge West Virginia,8491
Hancock West Virginia,33215
Monroe West Virginia,14001
Raleigh West Virginia,81205
Mingo West Virginia,23682
Pocahontas West Virginia,8799
Mercer West Virginia,62966
Tyler West Virginia,10700
Cabell West Virginia,96635
Preston West Virginia,35073
Hampshire West Virginia,25419
Barbour West Virginia,17478
Hardy West Virginia,14608
Logan West Virginia,37047
Wayne West Virginia,46459
Lewis West Virginia,16620
Roane West Virginia,14885
Putnam West Virginia,58538
Boone West Virginia,25042
Wirt West Virginia,5836
Upshur West Virginia,24863
Wyoming West Virginia,23307
Greenbrier West Virginia,36818
Randolph West Virginia,29768
Morgan West Virginia,16462
Pendleton West Virginia,7813
Wetzel West Virginia,14176
Gilmer West Virginia,8822
Kanawha West Virginia,192816
Rock Wisconsin,160162
Portage Wisconsin,71601
Dodge Wisconsin,89572
Juneau Wisconsin,27161
Vilas Wisconsin,21712
Oneida Wisconsin,35999
Lincoln Wisconsin,29005
Wood Wisconsin,74508
Outagamie Wisconsin,182521
Columbia Wisconsin,57460
Crawford Wisconsin,16655
Marinette Wisconsin,41429
Taylor Wisconsin,20777
Adams Wisconsin,20957
Calumet Wisconsin,49682
Walworth Wisconsin,102940
Waushara Wisconsin,24682
Florence Wisconsin,5688
Forest Wisconsin,9304
Monroe Wisconsin,45668
Lafayette Wisconsin,16997
Langlade Wisconsin,19493
Green Wisconsin,36879
Jefferson Wisconsin,82932
Marquette Wisconsin,15265
Richland Wisconsin,17813
Sheboygan Wisconsin,114761
Green Lake Wisconsin,19031
Dane Wisconsin,508257
Marathon Wisconsin,134887
Fond du Lac Wisconsin,102814
Menominee Wisconsin,4174
Sauk Wisconsin,62816
Oconto Wisconsin,37983
Winnebago Wisconsin,168819
Waupaca Wisconsin,52203
Kenosha Wisconsin,167908
Manitowoc Wisconsin,79895
Iowa Wisconsin,23749
Shawano Wisconsin,42084
Grant Wisconsin,52417
Door Wisconsin,27967
Brown Wisconsin,254511
Kewaunee Wisconsin,20570
Barron Wisconsin,46122
La Crosse Wisconsin,116485
Iron Wisconsin,5721
Buffalo Wisconsin,13454
Chippewa Wisconsin,64001
Sawyer Wisconsin,16605
Dunn Wisconsin,44038
Trempealeau Wisconsin,30089
Washburn Wisconsin,15856
Ashland Wisconsin,14257
Pepin Wisconsin,7475
Eau Claire Wisconsin,100510
St. Croix Wisconsin,86711
Price Wisconsin,13814
Bayfield Wisconsin,14717
Rusk Wisconsin,14511
Pierce Wisconsin,37334
Jackson Wisconsin,20772
Polk Wisconsin,44066
Vernon Wisconsin,30313
Burnett Wisconsin,15553
Douglas Wisconsin,44041
Clark Wisconsin,34891
Washington Wisconsin,134378
Racine Wisconsin,193535
Waukesha Wisconsin,395380
Ozaukee Wisconsin,87773
Milwaukee Wisconsin,926765
Sheridan Wyoming,30369
Albany Wyoming,37890
Big Horn Wyoming,11836
Campbell Wyoming,50266
Carbon Wyoming,15747
Converse Wyoming,14703
Crook Wyoming,7270
Fremont Wyoming,41124
Goshen Wyoming,13481
Hot Springs Wyoming,4864
Johnson Wyoming,8749
Laramie Wyoming,96337
Lincoln Wyoming,18671
Natrona Wyoming,82095
Niobrara Wyoming,2523
Park Wyoming,30067
Platte Wyoming,8922
Sublette Wyoming,10522
Sweetwater Wyoming,46488
Teton Wyoming,22523
Uinta Wyoming,21690
Washakie Wyoming,8639
Weston Wyoming,7356
